Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
West Face Mantel Problem,Face Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/109083653/west-face-mantel-problem,1.8,-1,Boulder,V1,1,10.0,40.00377,-105.29854,,V1,
Right Side,Face Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/113093170/right-side,1.5,-1,Boulder,V1,1,15.0,40.00377,-105.29854,,V1,
"Pocket's Off, Dick Dragger",Face Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/113936878/pockets-off-dick-dragger,2.0,-1,Boulder,V1,1,10.0,40.00377,-105.29854,,V1,
West Roof,Face Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/109083773/west-roof,1.5,-1,Boulder,V3,1,15.0,40.00377,-105.29854,,V3,
West Roof Direct,Face Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/109083777/west-roof-direct,2.2,-1,Boulder,V4,1,15.0,40.00377,-105.29854,,V4,
Easy West Face,The Pyramid > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/110479276/easy-west-face,2.8,-1,Boulder,V0-1,1,12.0,39.9996,-105.29532,,V0-1,
South/Southwest Face,The Pyramid > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/118742098/southsouthwest-face,2.0,-1,Boulder,V1,1,15.0,39.9996,-105.29532,,V1,
The Cobbler,The Pyramid > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/120157921/the-cobbler,1.5,-1,Boulder,V1,1,,39.9996,-105.29532,,V1,
The Polish Zorro,The Pyramid > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/120157640/the-polish-zorro,2.8,-1,Boulder,V3-4,1,,39.9996,-105.29532,,V3-4,
Erasable South Face Traverse,Erasable Boulder Complex > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/110493346/erasable-south-face-traverse,2.3,-1,Boulder,V1,1,15.0,39.99985,-105.2954,,V1,
Right Side Highball,Erasable Boulder Complex > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/110493371/right-side-highball,2.8,-1,Boulder,V1 PG13,1,20.0,39.99985,-105.2954,,V1,PG13
Erasable Mistakes,Erasable Boulder Complex > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/120157618/erasable-mistakes,1.0,-1,Boulder,V2,1,,39.99985,-105.2954,,V2,
Erasable Arete,Erasable Boulder Complex > Alamo Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/120157594/erasable-arete,3.0,-1,Boulder,V4-5,1,,39.99985,-105.2954,,V4-5,
High Boulder Dihedral V2 sds,High Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/113046989/high-boulder-dihedral-v2-sds,1.7,-1,Boulder,V2,1,10.0,40.00383,-105.29865,,V2,
Class Dismissed,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/113351736/class-dismissed,2.1,-1,Boulder,V0,1,7.0,40.00203,-105.29777,,V0,
Layback Lesson,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/119245096/layback-lesson,1.5,-1,Boulder,V0,1,12.0,40.00203,-105.29777,,V0,
Lunge Lesson,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/119245138/lunge-lesson,1.8,-1,Boulder,V1,1,10.0,40.00203,-105.29777,,V1,
Heel Hook lessons,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/114255816/heel-hook-lessons,2.4,-1,Boulder,V2,1,10.0,40.00203,-105.29777,,V2,
