Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Cumulus,Poland Hill > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106009363/cumulus,4.0,-1,Boulder,V10-,1,15.0,41.16696,-105.39746,,V10-,
Heroes Become Weak,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/110442425/heroes-become-weak,2.7,-1,Boulder,V3,1,15.0,41.16186,-105.3763,,V3,
The Gill Seam,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/110442406/the-gill-seam,3.3,-1,Boulder,V4,1,10.0,41.16186,-105.3763,,V4,
Daisy Cutter,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/119563317/daisy-cutter,4.0,-1,Boulder,V6,1,20.0,41.16186,-105.3763,,V6,
Mary,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106506629/mary,1.5,-1,Boulder,V7+,1,,41.16186,-105.3763,,V7+,
Jabberwocky,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/107088565/jabberwocky,3.8,-1,Boulder,V8,1,12.0,41.16186,-105.3763,,V8,
Daisy Cutter Assis,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/119563350/daisy-cutter-assis,4.0,-1,Boulder,V8,1,20.0,41.16186,-105.3763,,V8,
Skinner's Reprise,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/119563469/skinners-reprise,4.0,-1,Boulder,V8 R,1,35.0,41.16186,-105.3763,,V8,R
Weak Become Heroes,Walt's Wall > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106100627/weak-become-heroes,3.7,-1,Boulder,V10,1,15.0,41.16186,-105.3763,,V10,
Tail Spin,Valley Massif > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106480899/tail-spin,3.0,-1,"Trad, Boulder",V9,1,10.0,41.17325,-105.37667,,V9,
Right Winger,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106019436/right-winger,1.2,-1,"Trad, Boulder",5.8 V0,1,25.0,41.15478,-105.37467,5.8,V0,
Where the Sidewalk Ends,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106269892/where-the-sidewalk-ends,2.7,-1,Boulder,5.10- V0-1,1,12.0,41.15478,-105.37467,5.10-,V0-1,
Cupcake,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105814053/cupcake,3.4,-1,"Trad, Boulder",5.10b/c V1,1,25.0,41.15478,-105.37467,5.10,V1,
Unknown Crystal Slab,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109818248/unknown-crystal-slab,2.5,-1,Boulder,V1,1,15.0,41.15478,-105.37467,,V1,
Hand Jam Traverse aka V1 Traverse,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/121731234/hand-jam-traverse-aka-v1-traverse,2.8,-1,Boulder,V1,1,20.0,41.15478,-105.37467,,V1,
Deterioration / Unknown,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/114173253/deterioration-unknown,3.0,-1,Boulder,V1+,1,,41.15478,-105.37467,,V1+,
Banana Hammock,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106220143/banana-hammock,2.1,-1,Boulder,5.11a V2,1,10.0,41.15478,-105.37467,5.11,V2,
Unknown Mantle,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109818242/unknown-mantle,2.0,-1,Boulder,V2,1,10.0,41.15478,-105.37467,,V2,
